trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
GR2D,07:19:00,07:19:00,G-3805,15,,
GR2D,07:20:00,07:20:00,G-3754,16,,
GR2D,07:21:00,07:21:00,CLINIC,17,,
GR2D,07:23:00,07:23:00,BUILDING_16,18,,
GR2D,07:25:00,07:25:00,BUILDING_14_1,19,,
GR2D,07:28:00,07:28:00,BUILDING_18_1,20,,
GR2D,07:30:00,07:30:00,,21,,
GY2D,07:10:00,07:10:00,TAMIMI,1,,
GY2D,07:11:00,07:11:00,G-3417,2,,
GY2D,07:12:00,07:12:00,G-3443,3,,
GY2D,07:14:00,07:14:00,G-1317,4,,
GY2D,07:15:00,07:15:00,G-1364,5,,
GY2D,07:16:00,07:16:00,G-1250,6,,
GY2D,07:17:00,07:17:00,G-1164,7,,
GY2D,07:18:00,07:18:00,G-1174,8,,
GY2D,07:19:00,07:19:00,G-2277,9,,
GY2D,07:20:00,07:20:00,G-2261,10,,
GY2D,07:21:00,07:21:00,G-2014,11,,
GY2D,07:22:00,07:22:00,G-1785,12,,
GY2D,07:23:00,07:23:00,G-1660,13,,
GY2D,07:24:00,07:24:00,G-1445,14,,
GY2D,07:25:00,07:25:00,G-1427_1,15,,
GY2D,07:26:00,07:26:00,G-3446,16,,
GY2D,07:27:00,07:27:00,G-3831,17,,
GY2D,07:29:00,07:29:00,CLINIC,18,,
GY2D,07:31:00,07:31:00,BUILDING_16,19,,
GY2D,07:34:00,07:34:00,BUILDING_14_1,20,,
GY2D,07:36:00,07:36:00,BUILDING_18_1,21,,
PU2D,07:15:00,07:15:00,TAMIMI,1,,
PU2D,07:17:00,07:17:00,G-3151,2,,
PU2D,07:18:00,07:18:00,G-3170,3,,
PU2D,07:19:00,07:19:00,G-3194,4,,
PU2D,07:20:00,07:20:00,G-3217,5,,
PU2D,07:21:00,07:21:00,G-1026,6,,
PU2D,07:22:00,07:22:00,G-1141,7,,
PU2D,07:23:00,07:23:00,G-1235,8,,
PU2D,07:24:00,07:24:00,GARDENS_SCHO,9,,
PU2D,07:25:00,07:25:00,G-3382,10,,
PU2D,07:26:00,07:26:00,G-3452,11,,
PU2D,07:27:00,07:27:00,G-3175,12,,
PU2D,07:28:00,07:28:00,G-3176,13,,
PU2D,07:29:00,07:29:00,G-3045,14,,
PU2D,07:30:00,07:30:00,G-3106,15,,
PU2D,07:31:00,07:31:00,BUILDING_14,16,,
PU2D,07:32:00,07:32:00,BUILDING_16,17,,
PU2D,07:34:00,07:34:00,CLINIC,18,,
PU2D,07:36:00,07:36:00,,19,,
PU2D,07:38:00,07:38:00,,20,,
PU2D,07:41:00,07:41:00,,21,,
PU2D,07:43:00,07:43:00,,22,,
RE2D,07:15:00,07:15:00,TAMIMI,1,,
RE2D,07:17:00,07:17:00,G-3612,2,,
RE2D,07:18:00,07:18:00,G-3655,3,,
