trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
ORD2,07:26:00,07:26:00,H-4206A,35,,
ORD2,07:27:00,07:27:00,KAUST_INN,36,,
ORD2,07:28:00,07:28:00,BUILDING_18_1,37,,
ORD2,07:30:00,07:30:00,BUILDING_14_1,38,,
ORD2,07:33:00,07:33:00,BUILDING_16,39,,
ORD2,07:35:00,07:35:00,CLINIC,40,,
GRD2,07:05:00,07:05:00,TAMIMI,22,,
GRD2,07:06:00,07:06:00,G-3727,23,,
GRD2,07:07:00,07:07:00,G-3749,24,,
GRD2,07:08:00,07:08:00,G-3770,25,,
GRD2,07:09:00,07:09:00,G-1811,26,,
GRD2,07:10:00,07:10:00,G-2307,27,,
GRD2,07:11:00,07:11:00,G-2323,28,,
GRD2,07:12:00,07:12:00,G-2341,29,,
GRD2,07:13:00,07:13:00,G-2357,30,,
GRD2,07:14:00,07:14:00,G-2237,31,,
GRD2,07:15:00,07:15:00,G-2141,32,,
GRD2,07:16:00,07:16:00,G-1749,33,,
GRD2,07:17:00,07:17:00,GSS,34,,
GRD2,07:18:00,07:18:00,G-1433,35,,
GRD2,07:19:00,07:19:00,G-1705,36,,
GRD2,07:20:00,07:20:00,G-3805,37,,
GRD2,07:21:00,07:21:00,G-3754,38,,
GRD2,07:23:00,07:23:00,CLINIC,39,,
GRD2,07:25:00,07:25:00,BUILDING_16,40,,
GRD2,07:28:00,07:28:00,BUILDING_14,41,,
GRD2,07:30:00,07:30:00,BUILDING_18,42,,
GYD2,07:10:00,07:10:00,TAMIMI,22,,
GYD2,07:11:00,07:11:00,G-3417,23,,
GYD2,07:12:00,07:12:00,G-3443,24,,
GYD2,07:14:00,07:14:00,G-1317,25,,
GYD2,07:15:00,07:15:00,G-1364,26,,
GYD2,07:16:00,07:16:00,G-1250,27,,
GYD2,07:17:00,07:17:00,G-1164,28,,
GYD2,07:18:00,07:18:00,G-1174,29,,
GYD2,07:19:00,07:19:00,G-2277,30,,
GYD2,07:20:00,07:20:00,G-2261,31,,
GYD2,07:21:00,07:21:00,G-2014,32,,
GYD2,07:22:00,07:22:00,G-1785,33,,
GYD2,07:23:00,07:23:00,G-1660,34,,
GYD2,07:24:00,07:24:00,G-1445,35,,
